LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,Unnamed: 15,PARAM_TYPE,NOTE
Heart Rate,Heart Rate,HR,ready,,220045,Heart Rate,bpm,chartevents,6792105,Routine Vital Signs,,,,,Numeric with tag,
Heart Rhythm,Heart Rhythm,Heart Rhythm,ignore,,220048,Heart Rhythm,,,6210922,Routine Vital Signs,,,,,Text,
Height,Height,Height,ready,requires unit conversion or checking,226707,Height,Inch,chartevents,35430,General,,,,,,
Height,Height (cm),Height (cm),ready,requires unit conversion or checking,226730,Height (cm),cm,chartevents,35430,General,,,,,,
Hematocrit,Hematocrit,HCT,ready,,51221,HEMATOCRIT,,labevents,3500258,HEMATOLOGY,,BLOOD,4544-3,,,
Hematocrit,Hematocrit,HCT,ready,,50810,"HEMATOCRIT, CALCULATED",,labevents,117309,BLOOD GAS,,BLOOD,20570-8,,,
Hematocrit,Hematocrit,,ready,,51638,Hematocrit,,labevents,431,CHEMISTRY,,BLOOD,,,,
Hematocrit,Hematocrit (VAD),HCT (VAD),ready,,229824,HCT (VAD),None,chartevents,1262,Durable VAD,,,,,Numeric,
Hematocrit,Hematocrit (serum),HCT (serum),ready,,220545,Hematocrit (serum),None,chartevents,457914,Labs,,,,,,
Hemoglobin,Hemoglobin,,verify,,50855,ABSOLUTE HEMOGLOBIN,,labevents,548,CHEMISTRY,,BLOOD,718-7,,,
Hemoglobin,Hemoglobin,,ready,,51645,"Hemoglobin, Calculated",,labevents,431,CHEMISTRY,,BLOOD,,,,
Hemoglobin,Hemoglobin,,ready,,51222,HEMOGLOBIN,,labevents,3356006,HEMATOLOGY,,BLOOD,718-7,,,
Hemoglobin,Hemoglobin,,ready,,50811,HEMOGLOBIN,,labevents,117306,BLOOD GAS,,BLOOD,718-7,,Numeric with tag,
Hemoglobin,Hemoglobin,,ready,,220228,Hemoglobin,g/dl,chartevents,450910,Labs,,,,,Numeric,
Hemoglobin percent,Hemoglobin,,verify,,50852,% HEMOGLOBIN A1C,,labevents,235348,CHEMISTRY,,BLOOD,4548-4,,,
Immature Granulocytes,Immature Granulocytes,,ready,,52135,Immature Granulocytes,,labevents,435485,HEMATOLOGY,,BLOOD,,,,
Lactate,Lactate,,ready,,50813,LACTATE,,labevents,532918,BLOOD GAS,,BLOOD,32693-4,,Numeric with tag,
Lactate dehydrogenase,Lactate dehydrogenase,LDH,ready,,50954,LACTATE DEHYDROGENASE (LD),,labevents,497219,CHEMISTRY,,BLOOD,2532-0,,,
Lactate dehydrogenase pleural,Lactate dehydrogenase,LDH,ready,,51054,"LACTATE DEHYDROGENASE, PLEURAL",,labevents,7729,CHEMISTRY,,PLEURAL,2530-4,,,
Lactic acid,Lactic acid,,ready,,225668,Lactic Acid,None,chartevents,243967,Labs,,,,,,
Lung Sounds,Lung Sounds,LUL Lung Sounds,verify,,223988,LUL Lung Sounds,,,1522889,Pulmonary,,,,,Text,
Lung Sounds,Lung Sounds,LLL Lung Sounds,verify,,223989,LLL Lung Sounds,,,1543930,Pulmonary,,,,,Text,
Lung Sounds,Lung Sounds,RLL Lung Sounds,verify,,223987,RLL Lung Sounds,,,1549350,Pulmonary,,,,,Text,
Lung Sounds,Lung Sounds,RUL Lung Sounds,verify,,223986,RUL Lung Sounds,,,1525625,Pulmonary,,,,,Text,
Lymphocytes,Lymphocytes (atypical),,verify,,51365,ATYPICAL LYMPHOCYTES,,labevents,141,HEMATOLOGY,,JOINT FLUID,33371-6,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51385,ATYPICAL LYMPHOCYTES,,labevents,145,HEMATOLOGY,,OTHER BODY FLUID,30417-0,,,
Lymphocytes,Lymphocytes (absolute),,verify,,51133,ABSOLUTE LYMPHOCYTE COUNT,,labevents,543227,HEMATOLOGY,,BLOOD,26474-7,,,
Lymphocytes,Lymphocytes,,ready,,51244,LYMPHOCYTES,,labevents,1306211,HEMATOLOGY,,BLOOD,731-0,,,
Lymphocytes ascites,Lymphocytes,,ready,,51116,LYMPHOCYTES,,labevents,12212,HEMATOLOGY,,ASCITES,26482-0,,Numeric with tag,
Lymphocytes atypical,Lymphocytes (atypical),,ready,,51143,ATYPICAL LYMPHOCYTES,,labevents,206620,HEMATOLOGY,,BLOOD,733-6,,,
Lymphocytes atypical ascites,Lymphocytes (atypical),,verify,,51110,ATYPICAL LYMPHOCYTES,,labevents,454,HEMATOLOGY,,ASCITES,33369-0,,,
Lymphocytes atypical pleural,Lymphocytes (atypical),,verify,,51440,ATYPICAL LYMPHOCYTES,,labevents,395,HEMATOLOGY,,PLEURAL,33370-8,,,
Lymphocytes body fluid,Lymphocytes,,ready,,51427,LYMPHOCYTES,,labevents,4991,HEMATOLOGY,,OTHER BODY FLUID,11031-2,,,
Lymphocytes body fluid,Lymphocytes,,ready,,51375,LYMPHOCYTES,,labevents,6471,HEMATOLOGY,,JOINT FLUID,26483-8,,,
Lymphocytes percent,Lymphocytes (percent),,ready,,51245,"LYMPHOCYTES, PERCENT",,labevents,27579,HEMATOLOGY,,BLOOD,26478-8,,,
Lymphocytes pleural,Lymphocytes,,ready,,51446,LYMPHOCYTES,,labevents,7967,HEMATOLOGY,,PLEURAL,26481-2,,Numeric with tag,
Magnesium,Magnesium,Mg,ready,,220635,Magnesium,None,chartevents,433694,Labs,,,,,,
Magnesium,Magnesium,Mg,ready,,50960,MAGNESIUM,,labevents,2266080,CHEMISTRY,,BLOOD,2601-3,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,220052,Arterial Blood Pressure mean,mmHg,chartevents,2388405,Routine Vital Signs,,,,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,225312,ART BP mean,mmHg,chartevents,242109,Routine Vital Signs,,,,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,229827,Mean BP (VAD),mmHg,chartevents,2112,Durable VAD,,,,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,228872,HM II- Mean BP,mmHg,chartevents,3939,Hemodynamics,,,,,Numeric,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,220181,Non Invasive Blood Pressure mean,mmHg,chartevents,4271822,Routine Vital Signs,,,,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,224322,IABP Mean,mmHg,chartevents,32940,IABP,,,,,,
Mean corpuscular hemoglobin,Mean corpuscular hemoglobin,MCH,ready,,51248,MCH,,labevents,3333098,HEMATOLOGY,,BLOOD,785-6,,Numeric with tag,
Mean corpuscular hemoglobin concentration,Mean corpuscular hemoglobin concentration,MCHC,ready,,51249,MCHC,,labevents,3333220,HEMATOLOGY,,BLOOD,786-4,,,
Mean corpuscular volume,Mean corpuscular volume,MCV,ready,,51250,MCV,,labevents,3333099,HEMATOLOGY,,BLOOD,787-2,,,
Monocytes,Monocytes,,ready,,51254,MONOCYTES,,labevents,1306210,HEMATOLOGY,,BLOOD,742-7,,,
Neutrophils,Neutrophils,,ready,,51256,NEUTROPHILS,,labevents,1306211,HEMATOLOGY,,BLOOD,761-7,,,
Orientation,Orientation,Orientation,ignore,,223898,Orientation,,,511110,Neurological,,,,,Text,
Oxygen saturation,Oxygen saturation,SaO2,ready,,50817,OXYGEN SATURATION,,labevents,184787,BLOOD GAS,,BLOOD,20564-1,,,
Oxygen saturation,Oxygen saturation (arterial),SaO2,ready,,220227,Arterial O2 Saturation,%,chartevents,91710,Labs,,,,,Numeric,
Oxygen saturation,Pulse oximetry,SpO2,ready,,220277,O2 saturation pulseoxymetry,%,chartevents,6648584,Respiratory,,,,,,
Pacemaker,Pacemaker,Temp Pacemaker Type,ignore,,223955,Temporary Pacemaker Type,,,83192,Cardiovascular (Pacer Data),,,,,Text,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,ready,,50818,PCO2,,labevents,537950,BLOOD GAS,,BLOOD,11557-6,,Numeric,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PCO2 (Venous),ready,,226062,Venous CO2 Pressure,mmHg,chartevents,49604,Labs,,,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (arterial),PaCO2 (arterial),ready,,220235,Arterial CO2 Pressure,mmHg,chartevents,321227,Labs,,,,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,ready,,51275,PTT,,labevents,1329111,HEMATOLOGY,,BLOOD,3173-2,,Text,
Partial thromboplastin time,Partial thromboplastin time,PTT,ready,,227466,PTT,None,chartevents,305849,Labs,,,,,,
Peak inspiratory pressure,Peak inspiratory pressure,Peak Insp. Pressure,ready,,224695,Peak Insp. Pressure,cmH2O,chartevents,615615,Respiratory,,,,,Numeric,
Phosphate,Phosphate,,ready,,50970,PHOSPHATE,,labevents,2173482,CHEMISTRY,,BLOOD,2777-1,,,
Phosphorous,Phosphorous,Phosphorous,ready,,225677,Phosphorous,None,chartevents,409262,Labs,,,,,Numeric,
Plateau Pressure,Plateau Pressure,Plateau Pressure,ready,,224696,Plateau Pressure,cmH2O,chartevents,228471,Respiratory,,,,,Numeric,
Platelets,Platelets,Platelet count,ready,,227457,Platelet Count,None,chartevents,408332,Labs,,,,,,
Platelets,Platelets,Platelet count,ready,,51265,PLATELET COUNT,,labevents,3385259,HEMATOLOGY,,BLOOD,777-3,,,
Positive end-expiratory pressure,Positive end-expiratory pressure (total),PEEP (total),ready,,224700,Total PEEP Level,cmH2O,chartevents,194109,Respiratory,,,,,,
Positive end-expiratory pressure,Positive end-expiratory pressure,PEEP,ready,,50819,PEEP,,labevents,59715,BLOOD GAS,,BLOOD,20077-4,,,
Positive end-expiratory pressure Set,Positive end-expiratory pressure Set,PEEP set,ready,,220339,PEEP set,cmH2O,chartevents,675290,Respiratory,,,,,Numeric,
Potassium,Potassium (whole blood),K (whole blood),ready,,227464,Potassium (whole blood),None,chartevents,129545,Labs,,,,,Numeric,
Potassium,Potassium,,ready,,52610,POTASSIUM,,labevents,431,CHEMISTRY,,BLOOD,,,,
Potassium,Potassium,K,ready,,50971,POTASSIUM,,labevents,3315540,CHEMISTRY,,BLOOD,2823-3,,,
Potassium,Potassium (whole blood),K (whole blood),ready,,50822,"POTASSIUM, WHOLE BLOOD",,labevents,259740,BLOOD GAS,,BLOOD,6298-4,,Numeric,
Potassium serum,Potassium (serum),K (serum),ready,,227442,Potassium (serum),None,chartevents,479303,Labs,,,,,,
Prothrombin time INR,Prothrombin time,INR,ready,,51237,INR(PT),,labevents,1474532,HEMATOLOGY,,BLOOD,5895-7,,,
Prothrombin time INR,Prothrombin time,PT / INR,ready,,227467,INR,None,chartevents,281351,Labs,,,,,,
Prothrombin time PT,Prothrombin time,PT / INR,ready,,227465,Prothrombin time,None,chartevents,281332,Labs,,,,,,
Prothrombin time PT,Prothrombin time,PT,ready,,51274,PT,,labevents,1473859,HEMATOLOGY,,BLOOD,5902-2,,,
Pulmonary Artery Pressure mean,Pulmonary Artery Pressure mean,PAPm,verify,,220061,Pulmonary Artery Pressure mean,mmHg,chartevents,317124,Hemodynamics,,,,,Numeric,
Pulmonary Artery Pressure systolic,Pulmonary Artery Pressure systolic,PAPs,ready,,220059,Pulmonary Artery Pressure systolic,mmHg,chartevents,322205,Hemodynamics,,,,,Numeric,
